full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,66652,66652,5158,25,25,4,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,45608,45608,5650,117,117,18,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,17009,17009,3614,10,10,0,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,27807,27807,2153,17,17,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,20214,20214,1882,10,10,5,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,23632,23632,1376,35,35,2,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5662,5662,1443,4,4,2,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,10369,10369,1101,22,22,1,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,8880,8880,1146,3,3,3,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,6847,6847,477,12,12,0,https://github.com/frankbria/ralph-claude-code
OneRedOak/claude-code-workflows,3615,3615,537,1,1,1,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5304,5304,452,3,3,2,https://github.com/ChrisWiles/claude-code-showcase
Piebald-AI/claude-code-system-prompts,4463,4463,648,8,8,1,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,3047,3047,406,2,2,1,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3025,3025,544,5,5,1,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5291,5291,199,0,0,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3396,3396,311,2,2,2,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,2090,2090,358,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6540,6540,320,4,4,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,69413,69413,7002,115,115,22,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2026,2026,283,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2365,2365,254,1,1,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,574,574,594,1,1,0,https://github.com/anthropics/claude-code-base-action
eyaltoledano/claude-task-master,25431,25431,2424,6,6,0,https://github.com/eyaltoledano/claude-task-master
ykdojo/claude-code-tips,2777,2777,198,17,17,7,https://github.com/ykdojo/claude-code-tips
Pimzino/claude-code-spec-workflow,3420,3420,246,1,1,1,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,28563,28563,3131,25,25,4,https://github.com/wshobson/agents
router-for-me/CLIProxyAPI,10500,10500,1655,20,20,4,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,404,404,553,2,2,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-security-review,2988,2988,233,2,2,0,https://github.com/anthropics/claude-code-security-review
edmund-io/edmunds-claude-code,1179,1179,242,2,2,0,https://github.com/edmund-io/edmunds-claude-code
snarktank/ralph,10265,10265,1170,17,17,4,https://github.com/snarktank/ralph
siteboon/claudecodeui,6223,6223,814,1,1,2,https://github.com/siteboon/claudecodeui
github/spec-kit,69562,69562,6008,56,56,12,https://github.com/github/spec-kit
ding113/claude-code-hub,1403,1403,177,2,2,0,https://github.com/ding113/claude-code-hub
feiskyer/claude-code-settings,1200,1200,183,2,2,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,908,908,207,0,0,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,835,835,409,0,0,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
EveryInc/compound-engineering-plugin,8800,8800,683,31,31,3,https://github.com/EveryInc/compound-engineering-plugin
lst97/claude-code-sub-agents,1405,1405,224,1,1,0,https://github.com/lst97/claude-code-sub-agents
nishimoto265/Claude-Code-Communication,490,490,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
shanraisshan/claude-code-best-practice,2516,2516,166,20,20,0,https://github.com/shanraisshan/claude-code-best-practice
centminmod/my-claude-code-setup,1866,1866,180,2,2,0,https://github.com/centminmod/my-claude-code-setup
carlvellotti/claude-code-pm-course,1287,1287,198,12,12,1,https://github.com/carlvellotti/claude-code-pm-course
rizethereum/claude-code-requirements-builder,1741,1741,171,-1,-1,0,https://github.com/rizethereum/claude-code-requirements-builder
sickn33/antigravity-awesome-skills,8761,8761,1779,28,28,9,https://github.com/sickn33/antigravity-awesome-skills
andrepimenta/claude-code-chat,992,992,151,0,0,0,https://github.com/andrepimenta/claude-code-chat
darcyegb/ClaudeCodeAgents,549,549,47,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
zed-industries/claude-code-acp,928,928,145,0,0,0,https://github.com/zed-industries/claude-code-acp
winfunc/opcode,20529,20529,1595,0,0,0,https://github.com/winfunc/opcode
steipete/claude-code-mcp,1093,1093,129,2,2,0,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1324,1324,159,4,4,0,https://github.com/Njengah/claude-code-cheat-sheet
slopus/happy,11799,11799,865,36,36,5,https://github.com/slopus/happy
disler/claude-code-hooks-multi-agent-observability,1105,1105,317,3,3,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
peterkrueck/Claude-Code-Development-Kit,1306,1306,149,0,0,1,https://github.com/peterkrueck/Claude-Code-Development-Kit
EnzeD/vibe-coding,3919,3919,1275,2,2,1,https://github.com/EnzeD/vibe-coding
cixingguangming55555/wechat-bot,2532,2532,669,0,0,0,https://github.com/cixingguangming55555/wechat-bot
catlog22/Claude-Code-Workflow,1289,1289,108,1,1,0,https://github.com/catlog22/Claude-Code-Workflow
anthropics/claude-plugins-official,7384,7384,708,20,20,7,https://github.com/anthropics/claude-plugins-official
bfly123/claude_code_bridge,1169,1169,109,1,1,0,https://github.com/bfly123/claude_code_bridge
JessyTsui/Claude-Code-Remote,1039,1039,116,2,2,0,https://github.com/JessyTsui/Claude-Code-Remote
