full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,65802,65802,5047,103,103,9,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,43351,43351,5373,203,203,22,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,16824,16824,3597,22,22,1,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,27589,27589,2145,31,31,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,20000,20000,1860,27,27,0,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,23323,23323,1348,23,23,0,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5590,5590,1434,9,9,1,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8855,8855,1145,7,7,0,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,10105,10105,1085,20,20,1,https://github.com/VoltAgent/awesome-claude-code-subagents
frankbria/ralph-claude-code,6606,6606,461,24,24,0,https://github.com/frankbria/ralph-claude-code
OneRedOak/claude-code-workflows,3604,3604,533,3,3,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5276,5276,452,5,5,1,https://github.com/ChrisWiles/claude-code-showcase
Piebald-AI/claude-code-system-prompts,4316,4316,636,17,17,0,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,3023,3023,404,6,6,1,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5290,5290,200,0,0,0,https://github.com/kodu-ai/claude-coder
disler/claude-code-hooks-mastery,2831,2831,540,21,21,0,https://github.com/disler/claude-code-hooks-mastery
Yuyz0112/claude-code-reverse,2074,2074,358,3,3,0,https://github.com/Yuyz0112/claude-code-reverse
zebbern/claude-code-guide,3367,3367,308,4,4,1,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,6476,6476,319,7,7,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,67126,67126,6698,250,250,31,https://github.com/anthropics/skills
Cranot/claude-code-guide,2348,2348,255,2,2,0,https://github.com/Cranot/claude-code-guide
fuergaosi233/claude-code-proxy,2013,2013,279,4,4,1,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-base-action,569,569,595,0,0,0,https://github.com/anthropics/claude-code-base-action
eyaltoledano/claude-task-master,25389,25389,2427,7,7,0,https://github.com/eyaltoledano/claude-task-master
Pimzino/claude-code-spec-workflow,3411,3411,247,2,2,1,https://github.com/Pimzino/claude-code-spec-workflow
